name	2000-01	2000-02	2000-03	2000-04	2000-05	2000-06	2000-07	2000-08	2000-09	2000-10	2000-11	2000-12	2001-01	2001-02	2001-03	2001-04	2001-05	2001-06	2001-07	2001-08	2001-09	2001-10	2001-11	2001-12	2002-01	2002-02	2002-03	2002-04	2002-05	2002-06	2002-07	2002-08	2002-09	2002-10	2002-11	2002-12	2003-01	2003-02	2003-03	2003-04	2003-05	2003-06	2003-07	2003-08	2003-09	2003-10	2003-11	2003-12	2004-01	2004-02	2004-03	2004-04	2004-05	2004-06	2004-07	2004-08	2004-09	2004-10	2004-11	2004-12	2005-01	2005-02	2005-03	2005-04	2005-05	2005-06	2005-07	2005-08	2005-09	2005-10	2005-11	2005-12	2006-01	2006-02	2006-03	2006-04	2006-05	2006-06	2006-07	2006-08	2006-09	2006-10	2006-11	2006-12	2007-01	2007-02	2007-03	2007-04	2007-05	2007-06	2007-07	2007-08	2007-09	2007-10	2007-11	2007-12	2008-01	2008-02	2008-03	2008-04	2008-05	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10
Detroit-Warren-Livonia, MI MSA	3.5	3.5	3.5	3.5	3.6	3.7	3.8	3.8	3.8	3.8	3.9	4.2	4.5	4.7	4.9	5	5	5.1	5.2	5.4	5.6	5.9	6.1	6.3	6.4	6.4	6.4	6.4	6.4	6.4	6.3	6.2	6.2	6.2	6.4	6.6	6.8	7.1	7.2	7.3	7.4	7.4	7.4	7.3	7.2	7	6.9	6.8	6.7	6.7	6.8	6.9	7	7.1	7.2	7.4	7.5	7.6	7.6	7.6	7.6	7.6	7.5	7.4	7.3	7.2	7.1	7	7	7.1	7.1	7.1	7.1	7.1	7	7	7.1	7.1	7.2	7.3	7.4	7.4	7.4	7.3	7.3	7.2	7.2	7.3	7.4	7.5	7.6	7.7	7.7	7.8	7.7	7.6	7.5	7.5	7.5	7.7	7.9	8.2	8.5	8.8	9.3	9.9	10.7	11.5	12.4	13.2	14	14.6	15.1	15.5	15.8	15.9	16	15.9	15.7	15.5	15.2	14.9	14.7	14.4	14.1	13.9	13.6	13.4	13.3	13.1	12.8	12.5	12.1	11.9	11.8	11.8	11.9	12	11.9	11.8	11.5	11.2	10.9	10.5	10.3	10.2	10.1	10.2	10.4	10.6	10.7	10.7	10.7	10.7	10.7	10.7	10.6	10.3	9.9	9.5	9.3	9.4	9.4	9.6	9.7	9.5
Edison-New Brunswick, NJ Met Div	3.3	3.3	3.3	3.2	3.2	3.2	3.2	3.2	3.3	3.2	3.2	3.2	3.3	3.3	3.4	3.5	3.6	3.7	3.9	4.1	4.3	4.5	4.6	4.8	5	5.1	5.2	5.3	5.3	5.4	5.4	5.4	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.4	5.3	5.2	5.1	5	4.9	4.9	4.8	4.7	4.6	4.5	4.4	4.3	4.2	4.1	4.1	4.1	4.1	4	4	4	4	4.1	4.1	4.2	4.3	4.3	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.3	4.3	4.2	4.1	4	3.9	3.9	3.8	3.8	3.8	3.8	3.8	3.8	3.9	3.9	4	4.1	4.1	4.3	4.4	4.4	4.5	4.7	4.8	5	5.2	5.4	5.7	6.1	6.6	7	7.5	7.9	8.2	8.4	8.6	8.7	8.8	8.9	8.9	9	9	9.1	9.1	9.1	9	8.9	8.9	8.8	8.8	8.8	8.8	8.8	8.7	8.7	8.6	8.6	8.6	8.6	8.7	8.7	8.7	8.7	8.7	8.7	8.6	8.6	8.6	8.7	8.8	8.8	8.9	8.9	9	9	9	9	9	8.9	8.7	8.3	8	7.9	8	7.8	7.8	7.7	7.7
Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Met Div	3.5	3.6	3.6	3.7	3.7	3.8	3.8	3.8	3.7	3.6	3.5	3.5	3.6	3.7	3.8	3.9	4	4.1	4.3	4.6	4.9	5.3	5.7	5.9	6.1	6.1	6	6	6	5.9	5.8	5.8	5.7	5.7	5.6	5.6	5.6	5.6	5.6	5.6	5.6	5.6	5.5	5.4	5.3	5.1	5	4.9	4.8	4.8	4.8	4.7	4.7	4.6	4.6	4.5	4.4	4.3	4.2	4.2	4.1	4	3.9	3.8	3.7	3.6	3.5	3.4	3.4	3.4	3.3	3.3	3.2	3.1	3.1	3	3	3	3	3	3	3	3	3	3	3.1	3.1	3.2	3.2	3.3	3.4	3.5	3.6	3.8	3.9	4	4.1	4.2	4.4	4.7	4.9	5.2	5.5	5.7	6	6.3	6.7	7	7.5	7.9	8.3	8.6	8.9	9.1	9.3	9.4	9.6	9.7	9.8	9.8	9.8	9.8	9.7	9.6	9.5	9.5	9.5	9.5	9.6	9.6	9.6	9.6	9.5	9.4	9.2	9.2	9.1	9.1	9	8.9	8.8	8.6	8.4	8.2	8	7.9	7.8	7.7	7.6	7.5	7.4	7.3	7.1	7	6.9	6.8	6.7	6.5	6.2	6.1	6	5.9	5.8	5.6	5.5	5.4
Fort Worth-Arlington, TX Met Div	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.5	3.5	3.5	3.6	3.8	3.9	4	4.2	4.4	4.6	4.8	5.1	5.4	5.6	5.7	5.8	5.9	6	6	6	6	6	6.1	6.1	6.2	6.2	6.3	6.3	6.4	6.4	6.5	6.5	6.5	6.4	6.3	6.1	6	5.9	5.8	5.8	5.7	5.7	5.6	5.5	5.5	5.5	5.4	5.5	5.5	5.4	5.4	5.3	5.2	5.1	5	5	5	5	5	5	4.9	4.9	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.7	4.6	4.6	4.5	4.4	4.4	4.3	4.2	4.2	4.2	4.2	4.2	4.2	4.3	4.3	4.3	4.3	4.3	4.3	4.4	4.5	4.6	4.8	5	5.2	5.4	5.7	6.1	6.4	6.7	7	7.3	7.6	7.8	8	8.1	8.2	8.2	8.3	8.3	8.4	8.4	8.4	8.3	8.2	8.2	8.1	8.1	8.2	8.2	8.2	8.2	8.1	8	7.9	7.9	7.9	7.9	7.8	7.8	7.7	7.5	7.3	7.1	7	6.9	6.8	6.8	6.8	6.7	6.6	6.4	6.3	6.2	6.1	6	6.1	6.2	6.2	6.2	6.2	6.2	6.1	5.9	5.9	5.9
Framingham, MA NECTA Div	2.4	2.4	2.3	2.3	2.2	2.2	2.2	2.1	2.1	2.1	2.1	2.1	2.2	2.3	2.4	2.6	2.7	2.9	3.1	3.3	3.6	3.8	4	4.2	4.4	4.6	4.7	4.8	4.9	4.9	5	5	5.1	5.1	5.1	5.2	5.2	5.2	5.2	5.3	5.3	5.3	5.3	5.2	5.2	5.1	5	4.9	4.8	4.7	4.6	4.5	4.4	4.3	4.2	4.2	4.1	4	4	3.9	3.9	3.9	3.9	3.8	3.8	3.8	3.8	3.8	3.8	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.8	3.8	3.8	3.8	3.7	3.7	3.7	3.7	3.6	3.6	3.5	3.5	3.4	3.4	3.5	3.5	3.5	3.5	3.5	3.6	3.7	3.8	3.9	4.1	4.2	4.4	4.5	4.7	5	5.3	5.6	5.9	6.2	6.4	6.6	6.8	6.9	7	7	7	7	7	7	6.9	6.8	6.7	6.6	6.5	6.4	6.3	6.3	6.2	6.2	6	5.9	5.8	5.7	5.6	5.6	5.6	5.6	5.5	5.5	5.4	5.3	5.2	5.1	5.1	5.1	5.1	5.1	5.1	5.1	5.1	5.2	5.2	5.2	5.2	5.3	5.2	5.2	5.2	5.4	5.6	5.6	5.6	5.5	5.6
Gary, IN Met Div	3.3	3.3	3.3	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.5	3.7	3.8	4	4.2	4.3	4.5	4.7	5	5.4	5.7	6.1	6.3	6.5	6.5	6.4	6.3	6.1	5.9	5.8	5.7	5.6	5.5	5.4	5.4	5.4	5.5	5.6	5.8	6	6.1	6.2	6.2	6.1	6.1	6	5.9	5.9	5.9	5.8	5.8	5.9	5.9	5.9	5.9	5.9	5.9	5.9	5.8	5.7	5.7	5.6	5.6	5.6	5.7	5.7	5.8	5.7	5.6	5.4	5.3	5.3	5.4	5.5	5.6	5.7	5.7	5.6	5.4	5.3	5.1	5	5	4.9	4.8	4.7	4.6	4.6	4.7	4.8	4.9	5	5	4.9	4.9	4.9	4.9	5	5.1	5.3	5.5	5.8	6.2	6.7	7.4	8.1	8.9	9.5	10	10.4	10.6	10.6	10.6	10.6	10.7	10.7	10.9	10.9	11	10.9	10.8	10.6	10.4	10.2	10.1	9.9	10.7	10.3	9.9	9.6	9.3	9.1	9	9	9.1	9.3	9.5	9.6	9.6	9.5	9.3	9.1	8.8	8.7	8.6	8.7	8.8	8.9	9	9.1	9.2	9.3	9.4	9.5	9.8	9.9	9.8	9.6	9.4	9.5	9.6	9.3	9.2	9
Haverhill-North Andover-Amesbury, MA-NH NECTA Div	2.8	2.8	2.8	2.8	2.7	2.7	2.7	2.7	2.6	2.6	2.7	2.7	2.8	3	3.1	3.3	3.5	3.7	3.9	4.2	4.4	4.7	5	5.3	5.4	5.6	5.7	5.8	5.8	5.9	5.9	5.9	5.9	5.9	5.9	5.8	5.8	5.8	5.8	5.9	5.9	6	6	6	5.9	5.9	5.8	5.7	5.7	5.6	5.6	5.5	5.4	5.3	5.2	5.1	5	5	4.9	4.9	4.9	4.9	4.8	4.7	4.6	4.6	4.6	4.6	4.7	4.7	4.7	4.6	4.5	4.5	4.5	4.5	4.5	4.5	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.3	4.3	4.3	4.3	4.3	4.2	4.2	4.2	4.2	4.3	4.3	4.4	4.5	4.6	4.8	5	5.2	5.4	5.6	5.9	6.2	6.5	6.9	7.2	7.4	7.7	7.8	8	8.1	8.2	8.3	8.3	8.3	8.3	8.3	8.2	8.1	8	7.8	7.6	7.5	7.4	7.4	7.4	7.3	7.2	7.1	7	6.9	6.8	6.8	6.8	6.8	6.8	6.8	6.7	6.7	6.6	6.5	6.5	6.5	6.5	6.5	6.5	6.6	6.6	6.6	6.6	6.6	6.6	6.6	6.4	6.3	6.3	6.3	6.4	6.4	6.4	6.3	6.4
Lake County-Kenosha County, IL-WI Met Div	3.7	3.7	3.7	3.7	3.8	3.8	3.7	3.7	3.7	3.6	3.7	3.8	3.9	4	4.1	4.2	4.3	4.4	4.5	4.7	4.9	5.1	5.2	5.3	5.4	5.5	5.5	5.6	5.7	5.7	5.7	5.7	5.6	5.6	5.6	5.7	5.7	5.7	5.8	5.8	5.9	5.9	6	6.1	6.1	6	5.9	5.8	5.7	5.7	5.6	5.6	5.5	5.5	5.4	5.4	5.4	5.4	5.4	5.3	5.2	5.2	5.1	5	5	4.9	4.9	4.9	4.9	4.9	5	5	4.9	4.9	4.8	4.8	4.7	4.7	4.6	4.5	4.5	4.4	4.5	4.5	4.7	4.8	4.9	4.9	5	5	5	5.1	5.2	5.3	5.4	5.4	5.4	5.4	5.5	5.7	5.9	6.2	6.5	6.7	6.9	7	7.3	7.7	8	8.4	8.8	9.1	9.4	9.7	10	10.3	10.7	11	11.3	11.5	11.6	11.5	11.4	11.1	10.8	10.5	10.2	10.1	9.9	9.8	9.7	9.6	9.5	9.4	9.3	9.3	9.3	9.3	9.3	9.3	9.3	9.2	9.1	9	8.8	8.7	8.7	8.7	8.7	8.7	8.6	8.6	8.5	8.5	8.4	8.4	8.7	9	8.9	8.6	8.4	8.2	8.2	8.1	8.1	8.1
Lawrence-Methuen-Salem, MA-NH NECTA Div	4.7	4.7	4.6	4.5	4.5	4.4	4.4	4.3	4.3	4.2	4.2	4.3	4.5	4.8	5.1	5.4	5.8	6.2	6.6	7.1	7.6	8	8.5	8.8	9.1	9.3	9.4	9.4	9.4	9.4	9.4	9.5	9.5	9.5	9.5	9.4	9.4	9.4	9.4	9.5	9.6	9.7	9.7	9.7	9.6	9.5	9.3	9.2	9.1	9	8.9	8.8	8.6	8.5	8.4	8.2	8.2	8.1	8.1	8.1	8	7.9	7.8	7.6	7.6	7.5	7.5	7.5	7.5	7.5	7.5	7.4	7.4	7.4	7.4	7.3	7.2	7.1	7	7	7	7	7	7	7	7	6.9	6.9	6.9	6.8	6.8	6.7	6.6	6.6	6.6	6.6	6.7	6.8	6.9	7.1	7.4	7.7	8.1	8.4	8.7	9.1	9.5	9.9	10.3	10.8	11.3	11.7	12	12.3	12.4	12.6	12.7	12.7	12.7	12.7	12.7	12.6	12.5	12.3	12.2	12	12	11.9	11.9	12	12	12	11.9	11.8	11.7	11.6	11.6	11.6	11.6	11.5	11.4	11.2	11.1	11	10.9	10.9	10.9	11	11	11.1	11.1	11.1	11	10.9	10.8	10.7	10.7	10.6	10.7	10.8	11	11.3	11.3	11.3	11.2	11.2
Los Angeles-Long Beach-Glendale, CA Met Div	5.7	5.6	5.6	5.6	5.5	5.5	5.5	5.4	5.3	5.2	5.1	5	4.9	4.9	5	5.1	5.3	5.5	5.7	5.9	6.1	6.3	6.5	6.6	6.8	6.9	6.9	7	7	6.9	6.8	6.7	6.6	6.6	6.6	6.6	6.7	6.8	6.8	6.9	7	7.2	7.2	7.2	7.2	7.1	6.9	6.8	6.7	6.7	6.7	6.8	6.8	6.7	6.6	6.5	6.4	6.3	6.2	6.1	5.9	5.8	5.7	5.6	5.4	5.2	5.1	5	5	5.1	5.1	5.1	5.1	5	4.9	4.9	4.8	4.8	4.8	4.7	4.7	4.6	4.6	4.7	4.7	4.7	4.8	4.8	4.9	4.9	5	5.1	5.2	5.3	5.5	5.6	5.8	5.9	6.2	6.5	6.8	7.2	7.6	7.9	8.3	8.7	9.2	9.7	10.2	10.6	10.9	11.2	11.5	11.7	11.9	12.1	12.2	12.2	12.3	12.3	12.3	12.4	12.4	12.4	12.5	12.5	12.6	12.7	12.7	12.7	12.7	12.6	12.4	12.3	12.2	12.2	12.3	12.4	12.5	12.5	12.4	12.2	12	11.8	11.6	11.4	11.2	11.2	11.1	11.1	11	10.9	10.7	10.5	10.4	10.3	10.4	10.3	10.2	9.9	9.6	9.7	9.9	10.1	9.8	9.7
Los Angeles-Long Beach-Santa Ana, CA MSA	5.2	5.1	5.1	5.1	5.1	5	5	4.9	4.9	4.8	4.7	4.6	4.6	4.6	4.7	4.8	4.9	5	5.2	5.4	5.7	5.9	6.1	6.2	6.3	6.4	6.4	6.5	6.5	6.4	6.4	6.3	6.2	6.2	6.2	6.3	6.3	6.3	6.4	6.4	6.5	6.5	6.6	6.6	6.5	6.5	6.4	6.3	6.2	6.2	6.2	6.2	6.1	6.1	6	5.9	5.8	5.7	5.6	5.6	5.5	5.4	5.2	5.1	5	4.8	4.7	4.7	4.7	4.7	4.8	4.8	4.7	4.6	4.6	4.5	4.5	4.4	4.4	4.4	4.4	4.3	4.3	4.4	4.4	4.5	4.5	4.6	4.6	4.6	4.7	4.8	4.9	5.1	5.2	5.3	5.4	5.6	5.8	6	6.3	6.6	7	7.3	7.7	8.1	8.5	9	9.5	9.9	10.3	10.6	10.8	11	11.2	11.4	11.5	11.6	11.6	11.7	11.7	11.8	11.8	11.8	11.8	11.7	11.8	11.8	11.9	11.9	11.9	11.8	11.7	11.6	11.5	11.4	11.5	11.5	11.5	11.5	11.4	11.3	11.1	10.9	10.8	10.6	10.5	10.4	10.3	10.2	10.1	9.9	9.8	9.7	9.6	9.5	9.6	9.5	9.3	9.1	8.8	8.8	8.9	8.8	8.7	8.6
Lowell-Billerica-Chelmsford, MA-NH NECTA Div	3	3	2.9	2.8	2.7	2.6	2.5	2.5	2.4	2.4	2.4	2.5	2.6	2.8	3.1	3.3	3.6	3.9	4.2	4.5	4.9	5.2	5.5	5.7	5.9	6	6.1	6.2	6.3	6.4	6.4	6.5	6.6	6.6	6.7	6.7	6.7	6.8	6.8	6.9	6.9	6.9	6.9	6.8	6.7	6.5	6.4	6.3	6.2	6.1	6	5.9	5.8	5.7	5.6	5.5	5.5	5.4	5.4	5.4	5.4	5.3	5.3	5.2	5.1	5	5	5	5	5	5	5	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.8	4.8	4.8	4.8	4.8	4.8	4.7	4.7	4.7	4.6	4.6	4.5	4.5	4.5	4.5	4.5	4.5	4.6	4.6	4.7	4.9	5	5.2	5.4	5.6	5.9	6.2	6.6	7	7.4	7.7	8.1	8.4	8.6	8.9	9.1	9.2	9.3	9.3	9.3	9.3	9.2	9.1	9	8.9	8.7	8.5	8.4	8.3	8.3	8.2	8.2	8	7.9	7.8	7.7	7.6	7.6	7.6	7.5	7.5	7.4	7.3	7.2	7.1	7.1	7	7	7	7	7	7	7	7	7	7	7	6.9	6.7	6.7	6.6	6.8	7	7	7	6.9	7
Miami-Fort Lauderdale-Pompano Beach, FL MSA	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.4	4.4	4.3	4.3	4.3	4.4	4.4	4.5	4.6	4.6	4.7	4.8	4.9	5.9	6.9	6.8	6.7	6.6	6.6	6.5	6.4	6.3	6.2	6.1	6	6	6	6	5.9	5.9	5.8	5.8	5.8	5.8	5.8	5.8	5.7	5.6	5.5	5.4	5.3	5.3	5.3	5.2	5.2	5.2	5.1	5	5	4.9	4.9	4.9	4.8	4.7	4.6	4.5	4.4	4.2	4.1	4	4	3.9	3.9	3.9	3.8	3.7	3.7	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.5	3.5	3.6	3.6	3.6	3.7	3.9	4	4.1	4.3	4.4	4.5	4.6	4.8	4.9	5.1	5.4	5.7	5.9	6.4	6.8	7.1	7.6	8	8.5	9	9.5	9.9	10.3	10.5	10.7	10.8	10.9	11	11.1	11.1	11.2	11.2	11.2	11.2	11.1	11.1	11.2	11.2	11.3	11.3	11.3	11.2	11	10.9	10.8	10.7	10.6	10.5	10.3	10.1	9.9	9.6	9.4	9.2	9.1	8.9	8.8	8.7	8.7	8.6	8.5	8.4	8.3	8.2	8.1	8.1	8.2	8.2	8.1	7.8	7.6	7.3	7.1	6.9	6.9	6.9
Miami-Miami Beach-Kendall, FL Met Div	5.2	5.2	5.2	5.2	5.2	5.2	5.2	5.1	5	4.9	4.8	4.8	4.9	5	5.1	5.2	5.3	5.3	5.3	5.3	7.9	7.8	7.6	7.4	7.2	7.1	7	6.8	6.7	6.5	6.3	6.2	6.2	6.1	6.1	6.1	6.1	6	6	6	6	6	5.9	5.9	5.8	5.7	5.7	5.6	5.6	5.6	5.6	5.6	5.6	5.5	5.5	5.4	5.4	5.3	5.3	5.2	5.1	5	4.9	4.8	4.7	4.6	4.5	4.5	4.4	4.4	4.3	4.2	4.1	4	4	4	4.1	4.1	4.2	4.2	4.1	4.1	4.1	4	3.7	3.7	3.7	3.8	3.9	4	4.1	4.3	4.4	4.4	4.5	4.6	4.8	4.9	5.1	5.3	5.5	5.7	5.9	6.8	7.1	7.5	8	8.6	9.3	10	10.6	11.1	11.4	11.6	11.6	11.6	11.6	11.7	11.8	12	12.2	12.4	12.5	12.5	12.4	12.3	12.2	12.2	12.3	12.4	12.4	12.4	12.4	12.3	12.3	12.1	11.8	11.4	11	10.6	10.2	10	9.9	9.8	9.7	9.7	9.6	9.6	9.5	9.3	9.2	9	8.9	8.9	8.9	8.9	9.3	9.8	9.9	9.7	9.3	8.8	8.3	7.9	7.8	8
Nashua, NH-MA NECTA Div	2.7	2.7	2.8	2.8	2.8	2.7	2.7	2.7	2.6	2.6	2.6	2.7	2.8	3	3.1	3.3	3.5	3.7	3.9	4.1	4.3	4.6	4.7	4.9	5	5.1	5.2	5.3	5.4	5.4	5.5	5.6	5.7	5.7	5.7	5.6	5.5	5.3	5.3	5.2	5.2	5.3	5.3	5.3	5.2	5.1	5	4.9	4.8	4.7	4.6	4.6	4.4	4.3	4.2	4.1	4	4	3.9	3.9	4	4	3.9	3.9	3.9	3.8	3.8	3.8	3.9	3.9	3.8	3.8	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.8	3.7	3.7	3.7	3.6	3.6	3.5	3.5	3.5	3.4	3.4	3.5	3.5	3.5	3.6	3.6	3.7	3.8	3.8	3.9	4.1	4.3	4.5	4.8	5.2	5.5	5.9	6.2	6.4	6.6	6.8	6.9	7	7	7	7	7	6.9	6.8	6.6	6.5	6.3	6.2	6.1	6.1	6.1	6	5.9	5.8	5.7	5.7	5.7	5.7	5.7	5.8	5.8	5.8	5.8	5.7	5.6	5.6	5.6	5.6	5.6	5.6	5.7	5.8	5.8	5.8	5.9	5.9	5.9	6	6	6	5.9	5.8	5.5	5.4	5.2	5.2	5.4
Nassau-Suffolk, NY Met Div	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.3	3.3	3.2	3.2	3.2	3.3	3.3	3.4	3.6	3.7	3.9	4.1	4.3	4.5	4.7	4.8	4.8	4.8	4.8	4.8	4.7	4.6	4.6	4.6	4.6	4.6	4.6	4.6	4.7	4.7	4.7	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.7	4.6	4.5	4.5	4.4	4.4	4.4	4.3	4.3	4.2	4.2	4.1	4.1	4.1	4.2	4.2	4.2	4.2	4.1	4.1	4	4	4	4.1	4.1	4.1	4	3.9	3.9	3.8	3.7	3.6	3.6	3.6	3.6	3.6	3.7	3.8	3.9	3.9	4	4.1	4.1	4.1	4.2	4.3	4.4	4.5	4.6	4.8	4.9	5	5.2	5.4	5.7	6	6.3	6.7	6.9	7.1	7.3	7.4	7.4	7.4	7.4	7.5	7.5	7.5	7.5	7.5	7.5	7.4	7.4	7.3	7.3	7.3	7.3	7.4	7.4	7.3	7.3	7.2	7.1	7.1	7.1	7.1	7.2	7.2	7.2	7.2	7.3	7.3	7.3	7.3	7.3	7.4	7.5	7.5	7.5	7.4	7.4	7.3	7.3	7.2	7.3	7.2	7	6.6	6.4	6.2	6	6.1	6.1	6.1
New York-Northern New Jersey-Long Island, NY-NJ-PA MSA	4.6	4.6	4.5	4.5	4.5	4.5	4.5	4.4	4.4	4.3	4.3	4.2	4.2	4.2	4.2	4.3	4.4	4.6	4.8	5	5.3	5.6	5.9	6.1	6.3	6.4	6.5	6.5	6.5	6.5	6.4	6.4	6.4	6.5	6.6	6.6	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.6	6.5	6.4	6.3	6.3	6.2	6.1	6	5.9	5.8	5.7	5.5	5.4	5.3	5.1	5	5	4.9	4.9	4.8	4.8	4.8	4.8	4.9	5	5	5	4.9	4.9	4.8	4.8	4.8	4.7	4.7	4.6	4.5	4.4	4.3	4.3	4.2	4.2	4.2	4.2	4.3	4.4	4.4	4.5	4.5	4.5	4.5	4.5	4.5	4.5	4.6	4.6	4.7	4.9	5	5.2	5.4	5.6	5.9	6.3	6.7	7.2	7.6	8	8.3	8.6	8.8	8.9	9.1	9.2	9.2	9.2	9.3	9.3	9.3	9.2	9.1	9	9	8.9	8.9	8.8	8.8	8.8	8.7	8.6	8.5	8.5	8.5	8.5	8.6	8.6	8.7	8.7	8.7	8.8	8.7	8.7	8.7	8.8	8.8	8.9	8.9	8.9	8.8	8.8	8.7	8.7	8.6	8.7	8.7	8.4	8.1	7.9	7.9	7.8	7.8	7.8	7.9
New York-White Plains-Wayne, NY-NJ Met Div	5.4	5.4	5.3	5.3	5.2	5.2	5.1	5.1	5	5	4.9	4.8	4.8	4.8	4.8	4.9	5	5.1	5.3	5.6	6	6.3	6.6	6.9	7.1	7.2	7.3	7.4	7.3	7.3	7.2	7.2	7.2	7.3	7.4	7.5	7.6	7.6	7.6	7.5	7.5	7.6	7.6	7.5	7.4	7.3	7.2	7.2	7.1	7	6.9	6.8	6.7	6.5	6.3	6.2	6	5.8	5.7	5.6	5.5	5.4	5.3	5.3	5.2	5.2	5.3	5.3	5.4	5.4	5.4	5.3	5.2	5.1	5	5	5	4.9	4.8	4.7	4.6	4.5	4.4	4.4	4.4	4.4	4.5	4.6	4.7	4.8	4.8	4.8	4.8	4.8	4.7	4.7	4.7	4.7	4.7	4.8	4.9	5.1	5.3	5.5	5.8	6.1	6.5	6.9	7.4	7.8	8.2	8.6	8.9	9.2	9.4	9.5	9.6	9.7	9.7	9.7	9.7	9.7	9.6	9.6	9.4	9.3	9.2	9.2	9.1	9.1	9	8.9	8.8	8.7	8.7	8.7	8.7	8.8	8.9	8.9	9	9	9.1	9.1	9.1	9.1	9.1	9.2	9.2	9.2	9.2	9.1	9	8.9	8.8	8.8	9	8.9	8.7	8.4	8.2	8.2	8.1	8.2	8.3	8.4
Newark-Union, NJ-PA Met Div	3.6	3.6	3.5	3.5	3.5	3.6	3.6	3.7	3.7	3.7	3.6	3.6	3.6	3.7	3.7	3.8	4	4.1	4.3	4.5	4.8	5	5.3	5.5	5.7	5.8	5.9	6	6	6	6	5.9	6	6	6	6.1	6.1	6.1	6.1	6.1	6.1	6.2	6.1	6.1	6	5.8	5.7	5.6	5.5	5.5	5.4	5.3	5.2	5.1	5	4.9	4.7	4.6	4.6	4.5	4.5	4.5	4.4	4.4	4.4	4.4	4.4	4.5	4.6	4.7	4.7	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.8	4.7	4.6	4.5	4.4	4.3	4.2	4.2	4.2	4.2	4.2	4.2	4.2	4.3	4.3	4.4	4.5	4.6	4.7	4.7	4.8	4.9	5	5.2	5.3	5.5	5.8	6.1	6.4	6.9	7.3	7.7	8.1	8.5	8.7	8.9	9.1	9.2	9.3	9.4	9.5	9.5	9.6	9.6	9.5	9.5	9.4	9.3	9.3	9.3	9.3	9.4	9.4	9.4	9.3	9.3	9.3	9.3	9.3	9.3	9.3	9.3	9.3	9.2	9.2	9.1	9	9	9.1	9.2	9.2	9.3	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.1	8.8	8.5	8.5	8.5	8.3	8.3	8.2	8.2
Oakland-Fremont-Hayward, CA Met Div	3.6	3.6	3.7	3.7	3.7	3.7	3.7	3.6	3.5	3.5	3.4	3.4	3.4	3.5	3.6	3.8	4	4.3	4.5	4.8	5.1	5.4	5.6	5.8	6	6.1	6.1	6.2	6.3	6.3	6.3	6.4	6.4	6.5	6.6	6.6	6.6	6.6	6.7	6.7	6.7	6.7	6.7	6.6	6.5	6.4	6.3	6.3	6.2	6.1	6.1	6	5.8	5.7	5.6	5.5	5.4	5.4	5.4	5.3	5.3	5.3	5.2	5.1	5	5	5	5	5	4.9	4.8	4.7	4.6	4.5	4.4	4.4	4.4	4.3	4.3	4.3	4.3	4.3	4.3	4.4	4.4	4.4	4.5	4.5	4.5	4.6	4.7	4.8	4.8	4.9	5	5	5.1	5.1	5.3	5.4	5.6	5.9	6.1	6.4	6.7	7.1	7.5	8	8.6	9.1	9.5	9.9	10.3	10.5	10.8	10.9	11.1	11.1	11.2	11.3	11.3	11.3	11.3	11.3	11.2	11.2	11.2	11.2	11.2	11.2	11.1	11	10.9	10.8	10.7	10.6	10.5	10.5	10.4	10.3	10.2	10.1	9.9	9.7	9.5	9.4	9.3	9.2	9.2	9.1	9	8.9	8.8	8.7	8.6	8.5	8.4	8.2	8	7.6	7.2	7	7	7.1	7.1	7.1
